position,full_name,gsis_id,team,Total_touches,Total_HVT,TRAP,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,HVT_perc,rank,pos_rank,ATT,rush_yds,Y/A,LG,20+,rush_TD,REC,TGT,rec_yds,Y/R,rec_TD,FL,HVT_per_game,Touches_per_game
RB,Devine Ozigbo,00-0035184,DET,4,1,0.75,2.3,3.05,1,2023,2.3,3.05,0.25,Other,135,3,5,1.7,4,0,0,1,1,8,8,0,0,1,4
RB,Jakob Johnson,00-0035726,LV,1,1,0,2.2,3.05,1,2023,2.2,3.05,1,Other,136,0,0,0,0,0,0,1,2,12,12,0,0,1,1
RB,Chris Evans,00-0036857,CIN,3,1,0.6666666666666666,2.1,2.58,1,2023,2.1,2.58,0.33333333333333337,Other,137,2,12,6,7,0,0,1,1,-1,-1,0,0,1,3
RB,Tyrion Davis-Price,00-0037827,SF,6,0,1,2.1,2.61,1,2023,2.1,2.61,0,Other,138,6,21,3.5,15,0,0,0,0,0,0,0,0,0,6
RB,Zach Evans,00-0039136,LA,9,0,1,1.9,4.23,4,2023,0.475,1.0575,0,Other,139,9,19,2.1,5,0,0,0,0,0,0,0,0,0,2.25
RB,Evan Hull,00-0038397,IND,2,1,0.5,1.7000000000000002,2.02,1,2023,1.7000000000000002,2.02,0.5,Other,140,1,1,1,1,0,0,1,1,6,6,0,0,1,2
RB,Reggie Gilliam,00-0036187,BUF,1,1,0,1.3,1.47,1,2023,1.3,1.47,1,Other,141,0,0,0,0,0,0,1,1,3,3,0,0,1,1
RB,Kene Nwangwu,00-0036842,MIN,5,0,1,1.3,2.42,3,2023,0.43333333333333335,0.8066666666666666,0,Other,142,5,13,2.6,8,0,0,0,0,0,0,0,0,0,1.6666666666666667
RB,Jonathan Ward,00-0035924,TEN,3,0,1,1.1,1.58,1,2023,1.1,1.58,0,Other,143,3,11,3.7,8,0,0,0,0,0,0,0,0,0,3
RB,James Robinson,00-0035831,NO,2,1,0.5,1,2.04,1,2023,1,2.04,0.5,Other,144,1,2,2,2,0,0,1,1,-2,-2,0,0,1,2
RB,Jason Cabinda,00-0034171,DET,1,0,1,0,0.42,1,2023,0,0.42,0,Other,212,1,0,0,0,0,0,0,0,0,0,0,0,0,1
RB,Jonathan Williams,00-0032975,WAS,1,0,1,-0.2,1.96,1,2023,-0.2,1.96,0,Other,220,1,-2,-2,0,0,0,0,1,0,0,0,0,0,1
