position,full_name,gsis_id,team,Total_touches,Total_HVT,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,Touch_type,percentage,label_y,Rank
RB,Royce Freeman,00-0034838,LA,78,10,46.2,55.03,9,2023,5.133333333333334,6.114444444444445,HVT_perc,0.1282051282051282,0.9358974358974359,Other
RB,Jordan Mason,00-0037525,SF,43,5,44.7,27.29,9,2023,4.966666666666667,3.032222222222222,TRAP,0.8837209302325582,0.4418604651162791,Other
RB,Jordan Mason,00-0037525,SF,43,5,44.7,27.29,9,2023,4.966666666666667,3.032222222222222,HVT_perc,0.11627906976744184,0.9418604651162791,Other
RB,Darrell Henderson,00-0035664,LA,56,15,43.5,55.72,4,2023,10.875,13.93,TRAP,0.7321428571428571,0.36607142857142855,Other
RB,Darrell Henderson,00-0035664,LA,56,15,43.5,55.72,4,2023,10.875,13.93,HVT_perc,0.2678571428571429,0.8660714285714286,Other
RB,Kendre Miller,00-0038551,NO,51,11,43.3,38.68,7,2023,6.185714285714285,5.525714285714286,TRAP,0.7843137254901961,0.39215686274509803,Other
RB,Kendre Miller,00-0038551,NO,51,11,43.3,38.68,7,2023,6.185714285714285,5.525714285714286,HVT_perc,0.21568627450980393,0.892156862745098,Other
RB,Salvon Ahmed,00-0036020,MIA,38,19,42.9,49.62,7,2023,6.128571428571428,7.088571428571428,TRAP,0.5,0.25,Other
RB,Salvon Ahmed,00-0036020,MIA,38,19,42.9,49.62,7,2023,6.128571428571428,7.088571428571428,HVT_perc,0.5,0.75,Other
RB,Pierre Strong,00-0038098,CLE,68,7,42.8,47.9,13,2023,3.292307692307692,3.6846153846153844,TRAP,0.8970588235294118,0.4485294117647059,Other
RB,Pierre Strong,00-0038098,CLE,68,7,42.8,47.9,13,2023,3.292307692307692,3.6846153846153844,HVT_perc,0.1029411764705882,0.9485294117647058,Other
RB,Jeff Wilson,00-0034115,MIA,55,16,41.3,48.35,9,2023,4.588888888888889,5.372222222222223,TRAP,0.7090909090909091,0.35454545454545455,Other
RB,Jeff Wilson,00-0034115,MIA,55,16,41.3,48.35,9,2023,4.588888888888889,5.372222222222223,HVT_perc,0.2909090909090909,0.8545454545454545,Other
RB,Ameer Abdullah,00-0032104,LV,34,19,41,44.77,16,2023,2.5625,2.798125,TRAP,0.4411764705882353,0.22058823529411764,Other
RB,Ameer Abdullah,00-0032104,LV,34,19,41,44.77,16,2023,2.5625,2.798125,HVT_perc,0.5588235294117647,0.7205882352941176,Other
RB,Dalvin Cook,00-0033893,BAL,82,17,40.199999999999996,59.15,14,2023,2.871428571428571,4.225,TRAP,0.7926829268292683,0.39634146341463417,Other
RB,Dalvin Cook,00-0033893,BAL,82,17,40.199999999999996,59.15,14,2023,2.871428571428571,4.225,HVT_perc,0.20731707317073167,0.8963414634146342,Other
RB,Chase Edmonds,00-0034681,TB,63,14,39.7,46.32,13,2023,3.053846153846154,3.563076923076923,TRAP,0.7777777777777778,0.3888888888888889,Other
RB,Chase Edmonds,00-0034681,TB,63,14,39.7,46.32,13,2023,3.053846153846154,3.563076923076923,HVT_perc,0.2222222222222222,0.8888888888888888,Other
RB,Kyle Juszczyk,00-0029892,SF,19,16,38.5,37.74,10,2023,3.85,3.774,TRAP,0.15789473684210525,0.07894736842105263,Other
RB,Kyle Juszczyk,00-0029892,SF,19,16,38.5,37.74,10,2023,3.85,3.774,HVT_perc,0.8421052631578947,0.5789473684210527,Other
RB,Chris Rodriguez,00-0038611,WAS,53,6,37.9,35.24,8,2023,4.7375,4.405,TRAP,0.8867924528301887,0.44339622641509435,Other
RB,Chris Rodriguez,00-0038611,WAS,53,6,37.9,35.24,8,2023,4.7375,4.405,HVT_perc,0.1132075471698113,0.9433962264150944,Other
RB,Cordarrelle Patterson,00-0030578,ATL,59,14,36.9,53.97,12,2023,3.0749999999999997,4.4975,TRAP,0.7627118644067796,0.3813559322033898,Other
RB,Cordarrelle Patterson,00-0030578,ATL,59,14,36.9,53.97,12,2023,3.0749999999999997,4.4975,HVT_perc,0.23728813559322037,0.8813559322033898,Other
RB,D'Ernest Johnson,00-0035628,JAX,51,13,34.8,40.839999999999996,15,2023,2.32,2.7226666666666666,TRAP,0.7450980392156863,0.37254901960784315,Other
RB,D'Ernest Johnson,00-0035628,JAX,51,13,34.8,40.839999999999996,15,2023,2.32,2.7226666666666666,HVT_perc,0.2549019607843137,0.8725490196078431,Other
RB,Andrew Beck,00-0034959,HOU,16,14,32.8,36.47,11,2023,2.9818181818181815,3.3154545454545454,TRAP,0.125,0.0625,Other
RB,Andrew Beck,00-0034959,HOU,16,14,32.8,36.47,11,2023,2.9818181818181815,3.3154545454545454,HVT_perc,0.875,0.5625,Other
RB,Ty Johnson,00-0035537,BUF,37,7,32.4,28.66,7,2023,4.628571428571428,4.094285714285714,TRAP,0.8108108108108109,0.40540540540540543,Other
RB,Ty Johnson,00-0035537,BUF,37,7,32.4,28.66,7,2023,4.628571428571428,4.094285714285714,HVT_perc,0.18918918918918914,0.9054054054054055,Other
RB,Tony Jones,00-0035860,ARI,33,12,32.2,34.88,6,2023,5.366666666666667,5.8133333333333335,TRAP,0.6363636363636364,0.3181818181818182,Other
RB,Tony Jones,00-0035860,ARI,33,12,32.2,34.88,6,2023,5.366666666666667,5.8133333333333335,HVT_perc,0.36363636363636365,0.8181818181818181,Other
RB,Craig Reynolds,00-0035567,DET,46,10,31.6,33.78,6,2023,5.266666666666667,5.63,TRAP,0.782608695652174,0.391304347826087,Other
RB,Craig Reynolds,00-0035567,DET,46,10,31.6,33.78,6,2023,5.266666666666667,5.63,HVT_perc,0.21739130434782605,0.8913043478260869,Other
RB,Patrick Taylor,00-0035973,GB,43,12,30,42.5,10,2023,3,4.25,TRAP,0.7209302325581395,0.36046511627906974,Other
RB,Patrick Taylor,00-0035973,GB,43,12,30,42.5,10,2023,3,4.25,HVT_perc,0.2790697674418605,0.8604651162790697,Other
RB,Darrynton Evans,00-0036297,MIA,39,9,30,34.129999999999995,6,2023,5,5.688333333333333,TRAP,0.7692307692307693,0.38461538461538464,Other
